stop_name,cluster_name
SME,Santa Maria Elisabetta
Salamonio Marghera,Marghera Salamonio
VENEZIA CORSIA C,VENEZIA
Piazzale Roma,VENEZIA
Corsia A7 Ve.Park,VENEZIA
Parcheggio Parcheggio Mog,Parcheggio Mogliano
Tronchetto Vaporetti,Tronchetto
Tronchetto Tronchetto Fer,Tronchetto
Favretti MESTRE FS C2,Stazione Mestre FS
Stazione MESTRE FS C4,Stazione Mestre FS
Stazione MESTRE FS C1,Stazione Mestre FS
Stazione MESTRE FS C3,Stazione Mestre FS
Stazione MESTRE FS C5,Stazione Mestre FS
S. Servolo A RICHIESTA,S. Servolo
S.Erasmo Cap. A RICHIESTA,S.Erasmo Capannone
Lazzaretto N. A RICHIESTA,Lazzaretto Nuovo
Certosa A RICHIESTA,Certosa
Celestia A RICHIESTA,Celestia
S. Giorgio A RICHIESTA,S. Giorgio
Vignole A RICHIESTA,Vignole
Torcello A RICHIESTA,Torcello
Lido S.Nicolo' A RICHIEST,Lido S.Nicolo'
Bacini  A RICHIESTA,Bacini
Caroman A Richiesta,Caroman
"Tronchetto ""B""",Tronchetto
"Tronchetto ""A""",Tronchetto
Chioggia Civico 78,Chioggia Civico 64/78
Chioggia Civico 64,Chioggia Civico 64/78
